用語名,代表語,言語,代表語のURI,上位語のURI,他語彙体系の同義語のURI,用語の説明,作成日,最終更新日
カイトウメン,カイトウメン,ja,http://cavoc.org/cvo/ns/3/C822,http://cavoc.org/cvo/ns/3/C876,,,,
ペルー綿,カイトウメン,ja,http://cavoc.org/cvo/ns/3/C822,http://cavoc.org/cvo/ns/3/C876,,,,
シーアイランド綿,カイトウメン,ja,http://cavoc.org/cvo/ns/3/C822,http://cavoc.org/cvo/ns/3/C876,,,,
エジプト綿,カイトウメン,ja,http://cavoc.org/cvo/ns/3/C822,http://cavoc.org/cvo/ns/3/C876,,,,
スーダン綿,カイトウメン,ja,http://cavoc.org/cvo/ns/3/C822,http://cavoc.org/cvo/ns/3/C876,,,,
ワタ,ワタ,ja,http://cavoc.org/cvo/ns/3/C876,,,,,
モメン,ワタ,ja,http://cavoc.org/cvo/ns/3/C876,,,,,
Cotton,Cotton,en,http://cavoc.org/cvo/ns/3/C876,,,,,
Gossypium arboreum,Cotton,en,http://cavoc.org/cvo/ns/3/C876,,,,,
Gossypium herbaceum,Cotton,en,http://cavoc.org/cvo/ns/3/C876,,,,,
Gossypium hirsutum,Cotton,en,http://cavoc.org/cvo/ns/3/C876,,,,,
食用綿実,食用綿実,ja,http://cavoc.org/cvo/ns/3/C1055,http://cavoc.org/cvo/ns/3/C876,,,,
Edible cotton,Edible cotton,en,http://cavoc.org/cvo/ns/3/C1055,http://cavoc.org/cvo/ns/3/C876,,,,
