用語名,代表語,言語,代表語のURI,上位語のURI,他語彙体系の同義語のURI,用語の説明,作成日,最終更新日,x座標値,y座標値
果物屋,果物屋,ja,http://otherVocab/C822,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,3.779367076,-44.97713738
果物販売店,果物屋,ja,http://otherVocab/C822,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,16.81118132,-61.70717408
くだもの屋,果物屋,ja,http://otherVocab/C822,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,-7.53980653,-51.30562908
果物専門店,果物屋,ja,http://otherVocab/C822,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,-7.911179493,-26.26668782
店舗,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,-47.93248755,34.79784645
ストアー,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,9.110486157,-80.63532085
shop,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,63.98654788,-13.62595116
店屋,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,84.94554788,-65.64325116
store,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,22.86783788,-30.67687116
売店,店舗,ja,http://otherVocab/C876,,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,-52.98788,-42.625
魚屋,魚屋,ja,http://otherVocab/C1055,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,91.99742788,-43.65986116
鮮魚店,魚屋,ja,http://otherVocab/C1055,http://otherVocab/C876,,,2017-10-02T12:02:48Z,2021-07-14T12:43:45Z,56.98865788,-77.97631116
